code,label,description,parent_code,examples
33141000,Disposable non-chemical medical consumables and haematological consumables,Operatsioonitoa tarvikute ostmine kordushange,,"Operatsioonitoa tarvikute ostmine kordushange || Operatsioonitoa tarvikute ostmine vastavalt vajadusele kuni 31.03.2025 || Hoidelingud arterite, veenide, närvide, kusejuhade eraldamiseks. || Estonia – Disposable non-chemical medical consumables and haematological consumables – Operatsioonitoa tarvikute ostmine kordushange || PCR automaatanalüsaatori tarvikud || Tarvikute ostmine PCR automaatanalüsaatorile Cobas 4800 vastavalt lisa I Tehniline kirjeldus-pakkumuse vorm kirjeldatule || Estonia – Disposable non-chemical medical consumables and haematological consumables – PCR automaatanalüsaatori tarvikud || FFP2 respiraatorid ja kaitsekitlid"
33141112,Plasters,Kanüüliplaastrite ostmine,,Kanüüliplaastrite ostmine || Vastavalt RHAD lisale 2 || Läbipaistev; isekleepuv kinnitusplaaster intravenoossete kanüülide fikseerimiseks; kinnitub ja püsib kindlalt; on kiiresti ja lihtsalt paigaldatav; eemaldatav nahka vigastamata; sisselõikega; ühekaupa steriilses pakendis 6x7cm || Estonia – Plasters – Kanüüliplaastrite ostmine
33141420,Surgical gloves,Steriilsete kinnaste ostmine,,Steriilsete kinnaste ostmine || Hanke eesmärk on sõlmida raamleping steriilsete kinnaste ostmiseks HD Lisas 1 toodud nimetuste ja kirjelduste alusel. || Osa kirjeldus Lisa 1-s || Estonia – Surgical gloves – Steriilsete kinnaste ostmine
33141500,Haematological consumables,Doonormunarakkude ja -seemnerakkude ostmine,,Doonormunarakkude ja -seemnerakkude ostmine || Estonia – Haematological consumables – Doonormunarakkude ja -seemnerakkude ostmine
33141800,Dental consumables,"Täidised, materjalid ja tarvikud hambaravis ning proteesimises",,"Täidised, materjalid ja tarvikud hambaravis ning proteesimises || SA Ida-Viru haigla korraldab hanget hambaravis ja proteesimises kasutatavate täidiste, materjalide ja tarvikute ostmiseks 24 kuu jooksul. || Hambaravi täidismaterjalid || Estonia – Dental consumables – Täidised, materjalid ja tarvikud hambaravis ning proteesimises"
33162200,Operating-theatre instruments,Koagulaatori tarvikud 2,,Koagulaatori tarvikud 2 || Koagulaatori tarvikute ostmine || Monoplaarse elektrokirurgilise käepideme ostmine suitsueemaldamise võimalusega || Estonia – Operating-theatre instruments – Koagulaatori tarvikud 2
33169000,Surgical instruments,Ühekordse kasutusega operatsioonikomplektid (universaal ja angiograafia),,Ühekordse kasutusega operatsioonikomplektid (universaal ja angiograafia) || Ühekordse kasutusega universaal ja angiograafia operatsioonikomplektide ostmine vastavalt RHAD lisas I Tehniline kirjeldus-pakkumuse vorm kirjeldatule. || Ühekordse kasutusega universaaloperatsioonikomplektide ostmine vastavalt RHAD lisas I Tehniline kirjeldus-pakkumuse vorm kirjeldatule. || Estonia – Surgical instruments – Ühekordse kasutusega operatsioonikomplektid (universaal ja angiograafia)
33183100,Orthopaedic implants,Kaela eesmise juurdepääsu kirurgia (ACDF) implantaadid ja ACDF operatsioonide teostamiseks vajalikud instrumendid,,"Kaela eesmise juurdepääsu kirurgia (ACDF) implantaadid ja ACDF operatsioonide teostamiseks vajalikud instrumendid || Riigihanke eesmärk on implantaatide ostmine konsignatsioonilao meetodil ning implantaatide paigaldamiseks ja eemaldamiseks vajalike instrumentide komplektide kasutusse võtmine rendilao meetodil koos toetava teenusega (tarne, tootjapoolne tugi, remont, hooldus, koolitus). || Estonia – Orthopaedic implants – Kaela eesmise juurdepääsu kirurgia (ACDF) implantaadid ja ACDF operatsioonide teostamiseks vajalikud instrumendid"
33184200,Vascular prostheses,Veresoonte proteesid ja endoproteesid,,"Veresoonte proteesid ja endoproteesid || Käesoleva hanke eesmärk on sõlmida raamleping veresoonte proteeside ja endoproteeside ostmiseks. || Aordi bifurkatsiooni proteesid, toruproteesid ja axillo-bifemoraalne proteesid || Estonia – Vascular prostheses – Veresoonte proteesid ja endoproteesid"
33184500,Coronary endoprostheses,Bioresorbeeruv stent,,Bioresorbeeruv stent || Bioresorbeeruvate korornaarstentide ostmine || Estonia – Coronary endoprostheses – Bioresorbeeruv stent
33191000,"Sterilisation, disinfection and hygiene devices",Pesu- ja sterilisatsioonilahused seadmetele,,"Pesu- ja sterilisatsioonilahused seadmetele || Pesu- ja sterilisatsioonilahuste ostmine vastavalt RHAD lisas I Tehniline kirjeldus-pakkumuse vorm kirjeldatule. || Sterilisatsioonilahuste ostmine vastavalt RHAD lisas I Tehniline kirjeldus-pakkumuse vorm kirjeldatule. || Estonia – Sterilisation, disinfection and hygiene devices – Pesu- ja sterilisatsioonilahused seadmetele"
33191110,Autoclaves,Autoklaavide ostmine,,"Autoklaavide ostmine || Hankija eesmärk on osta 2 (kaks) RHAD Lisa 1 tehnilisele kirjeldusele vastavat haigla sterilisatsiooniosakonnas kasutamiseks mõeldud autoklaavi (edaspidi ka seade) koos seadme eesmärgipäraseks kasutamiseks vajaliku pöördosmoosseadmega/seadmetega. Lisaks seadme müügile ja tarnele kuulub hankeobjekti koosseisu seadme paigaldamine, vajadusel häälestamine/seadistamine, kasutajakoolituse teostamine, seadme täisgarantii, garantiijärgne hooldus- ja remonditeenuse osutamine ning muud riigihanke hankealusdokumentides nimetatud hankeobjektiga seotud tegevused ja toimingud. || Estonia – Autoclaves – Autoklaavide ostmine"
33195000,Patient-monitoring system,Vererõhu monitoride ostmine,,Vererõhu monitoride ostmine || AS Lääne-Tallinna Keskhaigla soovib osta kokku 29 vererõhu monitori LTKH erinevatesse osakondadesse. 4 seadet tuleb tarnida 3 kuu jooksul lepingu sõlmimisest ja 25 seaded 2024 aasta jaanuari 3. nädalal. || Estonia – Patient-monitoring system – Vererõhu monitoride ostmine
33600000,Pharmaceutical products,Erinevate ravimite ostmine,,Erinevate ravimite ostmine || Vastavalt RHAD lisas 2 toodule. || Vastavvt RHAD lisale 2 vastavast osast || Estonia – Pharmaceutical products – Erinevate ravimite ostmine || Vereplasmast valmistatud preparaadid || Vastavalt RHAD lisas I Tehniline kirjeldus/pakkumuse vorm kirjeldatule || Estonia – Pharmaceutical products – Vereplasmast valmistatud preparaadid || Infektsioonivastased ravimid (J-grupp)
33642000,"Systemic hormonal preparations, excl. sex hormones",Süsteemse toimega hormoonpreparaatide ostmine,,"Süsteemse toimega hormoonpreparaatide ostmine || Süsteemse toimega hormoonpreparaatide ostmine 24 kuu vältel vastavalt reaalsele vajadusele || argipressiin infusioonlahuse kontsentraat 40TÜ || Estonia – Systemic hormonal preparations, excl. sex hormones – Süsteemse toimega hormoonpreparaatide ostmine || Seedetrakti ja ainevahetust mõjutavate ravimite, kardiovaskulaarsüsteemi ravimite, süsteemsete hormoonpreparaatide, hingamissüsteemi ravimite, günekoloogias ja uroloogias kasutatavate ainete ostmine || Hankeobjektiks olevate ravimite ostmine ja tarne hanke alusdokumentidest tulenevatel tingimustel. || Estonia – Systemic hormonal preparations, excl. sex hormones – Seedetrakti ja ainevahetust mõjutavate ravimite, kardiovaskulaarsüsteemi ravimite, süsteemsete hormoonpreparaatide, hingamissüsteemi ravimite, günekoloogias ja uroloogias kasutatavate ainete ostmine"
33661500,Psycholeptics,Psühholeptiliste ainete (N05) ostmine,,"Psühholeptiliste ainete (N05) ostmine || Riigihanke eesmärgiks on sõlmida raamlepingud, mille objektiks on SA-le Pärnu Haigla Psühholeptiliste ainete (N05) ostmine 2 aasta jooksul, mille tehniline kirjeldus on esitatud HD lisas 1. || Tehniline kirjeldus on esitatud HD lisas 1. || Estonia – Psycholeptics – Psühholeptiliste ainete (N05) ostmine"
33680000,Pharmaceutical articles,"Konsuumertooted, diagnostikumid",,"Konsuumertooted, diagnostikumid || Konsuumertoodete ja diagnostikumide ostmine madalaima hinnaga vastava pakkumuse teinud pakkujalt raamlepingu alusel || Estonia – Pharmaceutical articles – Konsuumertooted, diagnostikumid"
33690000,Various medicinal products,Sevofluraani ostmine,,Sevofluraani ostmine || Lähtudes RHAD lisa 2 || Estonia – Various medicinal products – Sevofluraani ostmine
33692000,Medical solutions,"Infusioonlahuste, plasmaasendajate, intravenoossete- ja loputuslahuste ning röntgenkontrastainete ostmine",,"Infusioonlahuste, plasmaasendajate, intravenoossete- ja loputuslahuste ning röntgenkontrastainete ostmine || Hankeobjektiks olevate ravimite ostmine ja tarne hanke alusdokumentidest tulenevatel tingimustel. || Hankeobjekti kirjeldusega palume tutvuda hanke alusdokumentidest Lisa 1 tehniline kirjeldus. || Estonia – Medical solutions – Infusioonlahuste, plasmaasendajate, intravenoossete- ja loputuslahuste ning röntgenkontrastainete ostmine"
33696000,Reagents and contrast media,Veregaaside analüsaatorid ja reaktiivid,,"Veregaaside analüsaatorid ja reaktiivid || Riigihanke eesmärgiks on sõlmida hankeleping, mille objektiks on veregaaside uuringuteks vajalike reaktiivide, proovivõtutarvikute ja seadme ning seadmete hooldus- ja remonditeenuse ostmine. || Estonia – Reagents and contrast media – Veregaaside analüsaatorid ja reaktiivid || Laborikemikaalide ostmine KORDUSHANGE || Laborikemikaalide ostmine vastavalt vajadusele kuni 12.02.2026 || Estonia – Reagents and contrast media – Laborikemikaalide ostmine KORDUSHANGE"
33696400,Isotopic reagents,Radiofarmatseutikumi 18F-fluorodeoksüglükoos ostmine,,Radiofarmatseutikumi 18F-fluorodeoksüglükoos ostmine || Radiofarmatseutikumi 18F-fluorodeoksüglükoos ostmine vastavalt RHAD lisas I Tehniline kirjeldus kirjeldatule. || Estonia – Isotopic reagents – Radiofarmatseutikumi 18F-fluorodeoksüglükoos ostmine
33696500,Laboratory reagents,"IA - Phadia seadme reaktiivid (allergia, autoimmuunsus)",,"IA - Phadia seadme reaktiivid (allergia, autoimmuunsus) || Estonia – Laboratory reagents – IA - Phadia seadme reaktiivid (allergia, autoimmuunsus) || Mikrobioloogia labori analüüside teostamise vahendid || Mikrobioloogia labori analüüside teostamise vahendid, Laia spektriga beetalaktamaaside (ESBL, AmpC) tootmise määramine, Beeta hemolüütiliste sterptokokkide gruppide määramine määramine (A, B, C, F, G) || Estonia – Laboratory reagents – Mikrobioloogia labori analüüside teostamise vahendid || HLA tüpiseerimine reaalaja PCR ja NGS meetodil || Hanke eesmärk on sõlmida raamleping diagnostikumide ja interpreteerimise tarkvara ostmiseks HLA tüpiseerimiseks reaal-aja PCR ja NGS meetodil. || Estonia – Laboratory reagents – HLA tüpiseerimine reaalaja PCR ja NGS meetodil"
34100000,Motor vehicles,"Hanke eesmärk on rentida N1-kategooria sõidukeid Eesti Sõjamuuseum - kindral Laidoneri muuseumile. Hankija soovib esimese hankelepinguga rentida kaks N1-kategooria sõidukit 60 kuuks, mille üleandmise aeg hankijale peab olema hiljemalt 9 kuud pärast hankelepingu sõlmimist. Hankijal on õigus rentida rendiperioodi jooksul veel N1-kategooria sõidukeid. Kui pakkuja pakutud ühikuhind ületab hankija planeeritud eelarvet, on hankijal õigus hankelepingu sõlmimiseks tellitavat kogust vähendada.",,"Hanke eesmärk on rentida N1-kategooria sõidukeid Eesti Sõjamuuseum - kindral Laidoneri muuseumile. Hankija soovib esimese hankelepinguga rentida kaks N1-kategooria sõidukit 60 kuuks, mille üleandmise aeg hankijale peab olema hiljemalt 9 kuud pärast hankelepingu sõlmimist. Hankijal on õigus rentida rendiperioodi jooksul veel N1-kategooria sõidukeid. Kui pakkuja pakutud ühikuhind ületab hankija planeeritud eelarvet, on hankijal õigus hankelepingu sõlmimiseks tellitavat kogust vähendada. || Estonia – Motor vehicles – Kaubikute rentimine || Maismaasõidukite ostmine ja kasutusrent || Hankega tulemusel soovitakse osta sõidukeid Välisministeeriumile ja Eesti Vabariigi diplomaatilistele esindustele || Sedaankerega suur keskklassi sõiduauto || Estonia – Motor vehicles – Maismaasõidukite ostmine ja kasutusrent"
34110000,Passenger cars,Sadulveoki ja paadiveohaagise soetamine Politsei- ja Piirivalveametile,,"Sadulveoki ja paadiveohaagise soetamine Politsei- ja Piirivalveametile || Vabariigi Valitsuse 04.11.2022 korralduse nr 300 alusel kuulutab Eesti Energia AS, kui vabatahtlik keskne hankija, välja riigihanke Politsei- ja Piirivalveameti nimel. Hankelepingu sõlmib eduka pakkujaga Politsei- ja Piirivalveamet. || M1, M2 ja N1, N2 kategooria sõidukite ostmine. || Estonia – Passenger cars – Sadulveoki ja paadiveohaagise soetamine Politsei- ja Piirivalveametile || Sõiduauto kasutusrent (M1 linnamaastur) || Estonia – Passenger cars – Sõiduauto kasutusrent (M1 linnamaastur) || Kahe maasturtõstuki soetamine Politsei- ja Piirivalveametile || Estonia – Passenger cars – Kahe maasturtõstuki soetamine Politsei- ja Piirivalveametile"
34111100,Estate cars,Universaali kasutusrent,,Universaali kasutusrent || Hankelepingu esemeks on universaalkerega sõiduauto kasutusrendile võtmine koos lisateenustega || Estonia – Estate cars – Universaali kasutusrent
34114110,Rescue vehicles,Õhusõiduki pääste- ja tuletõrjeautode ning tuletõrje paakautode ostmine,,"Õhusõiduki pääste- ja tuletõrjeautode ning tuletõrje paakautode ostmine || Riigihanke eesmärk on osta Eesti Kaitseväele õhusõiduki pääste- ja tuletõrjeautosid ning tuletõrje paakautosid koos nende tarvikute, abiseadmete ja tööriistadega ning nende elutsükli tagamiseks vajalike remont- ja hooldustööde tellimisega. Hankija soovib igas hanke osas minna raamlepingusse maksimaalselt kolme pakkujaga, kelle vahel hakkab hankija läbi viima minikonkursse. Esimese hankelepinguga soovib hankija osta kahte õhusõiduki pääste- ja tuletõrjeautot ning ühte tuletõrje paakautot, milleks hankija viib läbi minikonkursi. Hanke eeldatav maksumus ei kohusta hankijat selles mahus kaupa või teenuseid tellima. Lõplikud kogused ja summad selguvad sõlmitavate hankelepingute käigus. || Hanke osa eesmärk on osta õhusõiduki pääste- ja tuletõrjeautosid. || Estonia – Rescue vehicles – Õhusõiduki pääste- ja tuletõrjeautode ning tuletõrje paakautode ostmine"
34130000,Motor vehicles for the transport of goods,M1 kategooria bussi ostmine,,"M1 kategooria bussi ostmine || Ühe M1 kategooria bussi ostmine vastavalt riigihanke alusdokumentidele. Nõuded sõidukile on esitatud dokumendis ""Tehniline kirjeldus"" ja ""Lisa 1 - Hankeobjekti kirjeldus"". Hankelepingu tingimused on esitatud dokumendis ""Müügilepingu projekt"". Juhised pakkujale on esitatud dokumendis ""Lisateave"". || M1, M2 ja N1, N2 kategooria sõidukite ostmine. || Estonia – Motor vehicles for the transport of goods – M1 kategooria bussi ostmine || N1G erilahendusega maasturite ost || Estonia – Motor vehicles for the transport of goods – N1G erilahendusega maasturite ost"
34223330,Mobile units on trailers,Soojakute rentimine koos tarne ja paigaldusega üle Eesti.,,Soojakute rentimine koos tarne ja paigaldusega üle Eesti. || Estonia – Mobile units on trailers – Soojakute rentimine
34300000,Parts and accessories for vehicles and their engines,Päästesõidukite varuosade ostmine,,"Päästesõidukite varuosade ostmine || Raamlepingu objektiks on päästesõidukite varuosade vajaduspõhine ostmine koos nende kohale toimetamisega hankija asukohta Pritsu, Vardja küla, Kose vald, Harjumaa. || Raamlepingu objektiks on osa nimetuses toodud ettevõtja poolt toodetud päästesõidukite varuosade vajaduspõhine ostmine koos nende kohale toimetamisega hankija asukohta Pritsu, Vardja küla, Kose vald, Harjumaa. || Estonia – Parts and accessories for vehicles and their engines – Päästesõidukite varuosade ostmine"
34352000,Heavy-duty tyres,Kaitseotstarbeliste sõidukite rehvid,,Kaitseotstarbeliste sõidukite rehvid || Objektiks on rehvide ostmine 24 kalendrikuu jooksul. || Estonia – Heavy-duty tyres – Kaitseotstarbeliste sõidukite rehvid
34600000,Railway and tramway locomotives and rolling stock and associated parts,Hooldustrammi ostmine,,"Hooldustrammi ostmine || Vajalik trammiteede hoolduseks. Hooldustramm võimaldab rööbastee lihvimist, harjamist nii suvel kui talvel, rööbastee puhastamist lumest ja kontaktliinilt härmatise eemaldamist. Praegu kasutusel olevad tehnilised trammid on tehniliselt ja moraalselt vananenud ning nende jätkuv ekspluatatsioon on ebamõistlik. || Estonia – Railway and tramway locomotives and rolling stock and associated parts – Hooldustrammi ostmine"
34923000,Road traffic-control equipment,Liiklusjärelevalve vahendite ostmine,,Liiklusjärelevalve vahendite ostmine || Erinevate mõõtevahendite soetamine || Estonia – Road traffic-control equipment – Liiklusjärelevalve vahendite ostmine
34928400,Urban furniture,Linnamööbli soetamine 2023,,Linnamööbli soetamine 2023 || Hanke eesmärk on hankelepingu sõlmimine kvaliteetse ning nõuetele vastava linnamööbli soetamiseks ja paigaldamiseks. || Täpsem kirjeldus on esitletud alusdokumentide lisades 1.1 ja 1.1.1. || Estonia – Urban furniture – Linnamööbli soetamine 2023
34969000,Passenger boarding bridges and stairs for aircraft,Iseliikuv reisijate trapp,,Iseliikuv reisijate trapp || Riigihankega ostetakse kokku viis (5) reisijate trappi. 2023. aastal ostetakse kolm (3) trappi ja 2024. aastal ostetakse kaks (2) trappi. Pakkumus peab olema tehtud viiele trapile korraga. || Estonia – Passenger boarding bridges and stairs for aircraft – Iseliikuv reisijate trapp
34980000,Transport tickets,Piletimüügisüsteemi rentimine Põlva- ja Võrumaa bussiliinidele,,Piletimüügisüsteemi rentimine Põlva- ja Võrumaa bussiliinidele || Põlva- ja Võru maakonnaliinide bussidesse hangitakse ühtse piletimüügisüsteemi toimimise terviklahendus ning renditakse vastavad seadmed. || Estonia – Transport tickets – Piletimüügisüsteemi rentimine Põlva- ja Võrumaa bussiliinidele
34993000,Road lights,LED valgustite ostmine maanteevalgustuse taristu renoveerimiseks,,LED valgustite ostmine maanteevalgustuse taristu renoveerimiseks || Estonia – Road lights – LED valgustite ostmine maanteevalgustuse taristu renoveerimiseks
35100000,Emergency and security equipment,"Demineerimisrobotid, elutsükkel ja varuosad",,"Demineerimisrobotid, elutsükkel ja varuosad || Hangitakse demineerimisroboteid ning nendega seonduvaid varuosi, tarvikuid, koolitusi, hooldus- ja remonditeenuseid. || Estonia – Emergency and security equipment – Demineerimisrobotid, elutsükkel ja varuosad"
35330000,Ammunition,Erinevat tüüpi laskemoona ostmine,,Erinevat tüüpi laskemoona ostmine || Estonia – Ammunition – Laskemoona ostmine
35331300,Grenades,"Lahingkäsigranaatide ja õppekäsigranaatide, nende elutsükli ja vajalike koolituste tagamine ning uutele ja juba olemasolevatele käsigranaatidele sütikute soetamine.",,"Lahingkäsigranaatide ja õppekäsigranaatide, nende elutsükli ja vajalike koolituste tagamine ning uutele ja juba olemasolevatele käsigranaatidele sütikute soetamine. || Estonia – Grenades – Käsigranaadid"
37400000,Sports goods and equipment,Tallinna Spordihalli (Herne 30) spordiinventari hankimine ja paigaldus,,"Tallinna Spordihalli (Herne 30) spordiinventari hankimine ja paigaldus || Tallinna Spordihalli (Herne 30) spordiinventari hankimine ja paigaldus, mis sisaldab spordiinventari (spordivarustus, jõusaali seadmed ja fotofiniš) hankimist koos selle transpordiga objektile ja paigaldusega (montaažiga, sh tehnosüsteemidega ühendamine) ning toodete garantiiteenuse osutamine, mille eest hankija ei pea maksma lisatasu. || Pakkuja ülesandeks on spordiinventari hankimine koos selle transpordiga objektile ja paigaldusega (montaažiga, sh tehnosüsteemidega ühendamine) ning toodete garantiiteenuse osutamine, mille eest hankija ei pea maksma lisatasu. || Estonia – Sports goods and equipment – Tallinna Spordihalli (Herne 30) spordiinventari hankimine ja paigaldus || Rattad Riigi Kaitseinvesteeringute Keskusele || Jalgrataste reaalne soetatav kogus sõltub toote ühikuhinnast || Estonia – Sports goods and equipment – Rattad"
38000000,"Laboratory, optical and precision equipments (excl. glasses)",Alpha-tight encasement for glovebox dismantling,,"Alpha-tight encasement for glovebox dismantling || The JRC Karlsruhe plans to purchase an alpha-tight encasement for the dismantling of gloveboxes at the JRC Karlsruhe premises. The glove box dismantling, as all other activities within the JRC Karlsruhe involving the handling of radioactive materials, ought to comply with all safety specifications to be applied in a controlled area of a nuclear facility. It follows from precisely these safety considerations that the glove boxes at the JRC Karlsruhe must only be scrapped in an alpha-tight encasement that can demonstrably and reliably prevent the spread of contamination. Supplementary safety requirements are: a defined subatmospheric pressure in the work area, the use of fire-retardant materials and the possibility to integrate the system into the existing monitoring instrumentation established at the JRC Karlsruhe. || ['The JRC Karlsruhe plans to purchase an alpha-tight encasement for the dismantling of gloveboxes at the JRC Karlsruhe premises. The glove box dismantling, as all other activities within the JRC Karlsruhe involving the handling of radioactive materials, ought to comply with all safety specifications to be applied in a controlled area of a nuclear facility. It follows from precisely these safety considerations that the glove boxes at the JRC Karlsruhe must only be scrapped in an alpha-tight encasement that can demonstrably and reliably prevent the spread of contamination. Supplementary safety requirements are: a defined subatmospheric pressure in the work area, the use of fire-retardant materials and the possibility to integrate the system into the existing monitoring instrumentation established at the JRC Karlsruhe.'] || Germany – Laboratory, optical and precision equipments (excl. glasses) – Alpha-tight encasement for glovebox dismantling"
38300000,Measuring instruments,Tartu Ülikoolile laserskanneri ostmine,,"Tartu Ülikoolile laserskanneri ostmine || Käesoleva hankemenetluse esemeks on laserskanneri ostmine vastavalt HD lisas 1 esitatud tehnilistele kirjeldustele || Estonia – Measuring instruments – Tartu Ülikoolile laserskanneri ostmine || Kütuselabori seadmete ostmine || Riigihanke eesmärk on lennukikütuse kvaliteedi järelevalve teostamise seadmete ja nende tarvikute soetamine, kalibreerimine ja garantiihoolduste teostamine. Hanke eeldatav maksumus ei kohusta hankijat selles mahus kaupa või teenuseid tellima. Lõplikud kogused ja summad selguvad sõlmitavate hankelepingute käigus. || Estonia – Measuring instruments – Kütuselabori seadmete ostmine"
38432200,Chromatographs,Kõrgsurvevedelikkromatograafia (HPLC) süsteemi ostmine,,Kõrgsurvevedelikkromatograafia (HPLC) süsteemi ostmine || Käesoleva hankemenetluse esemeks on Tartu Ülikoolile kõrgsurvevedelikkromatograafia (HPLC) süsteemi ostmine vastavalt HD lisas 1 esitatud tehnilisele kirjeldusele. || Estonia – Chromatographs – Kõrgsurvevedelikkromatograafia (HPLC) süsteemi ostmine
38432210,Gas chromatographs,Lisaseadmete ostmine GC-C-IRMS mõõtesüsteemi loomiseks,,Lisaseadmete ostmine GC-C-IRMS mõõtesüsteemi loomiseks || Käesoleva hankemenetluse esemeks on lisaseadmete ostmine GC-C-IRMS mõõtesüsteemi loomiseks vastavalt HD lisas 1 esitatud tehnilisele kirjeldusele. Hankelepingu täitmise tähtaeg on hiljemalt 7 (seitse) kuud hankelepingu sõlmimisest. || Estonia – Gas chromatographs – Lisaseadmete ostmine GC-C-IRMS mõõtesüsteemi loomiseks
38434540,Biomedical equipment,"Sekveneerimiseks vajalike reagentide, kittide, kiipide ja tarvikute ostmine Terviseameti nakkushaiguste laborile",,"Sekveneerimiseks vajalike reagentide, kittide, kiipide ja tarvikute ostmine Terviseameti nakkushaiguste laborile || Sekveneerimiseks vajalike reagentide ja nende komplektide (kitid), kiipide ja tarvikute hankimine Terviseameti terviseohutuslabori nakkushaiguste laborile || Estonia – Biomedical equipment – Sekveneerimiseks vajalike reagentide, kittide, kiipide ja tarvikute ostmine Terviseameti nakkushaiguste laborile"
38434560,Chemistry analyser,Kliinilise keemia analüsaatorid,,"Kliinilise keemia analüsaatorid || Hanke eesmärk on sõlmida raamleping kolme täisautomaatse kliinilise keemia analüsaatori (sh tarkvaralitsentside, lisamoodulite) tasuta kasutamiseks koos kaasnevate teenustega (sh hooldus, remont ja koolitus) ning uuringute teostamiseks vajalike reaktiivide (sh kalibraatorid ja kontrollid) ja muude kulumaterjalide ostmiseks kolmeks aastaks. Tegu on ajutise lahendusega kuniks on läbi viidud labori automaatliini hange, mille raames näeme ette ka tütarhaiglate vajaduste katmise sama tootja seadmete ja reaktiividega. || Estonia – Chemistry analyser – Kliinilise keemia analüsaatorid"
38519000,Miscellaneous compounds for microscopes,Vibratsioonivabade mikroskoobilaudade ostmine fluorestsentsmikroskoopidele Zeiss Axio Observer,,Vibratsioonivabade mikroskoobilaudade ostmine fluorestsentsmikroskoopidele Zeiss Axio Observer || Käesoleva hankemenetluse esemeks on kahe vibratsioonivaba mikroskoobilaua ostmine fluorestsentsmikroskoopidele Zeiss Axio Observer vastavalt HD lisas 1 esitatud tehnilisele kirjeldusele. Seadme üleandmise tähtaeg on hiljemalt 3 (kolm) kuud hankelepingu sõlmimisest. || Estonia – Miscellaneous compounds for microscopes – Vibratsioonivabade mikroskoobilaudade ostmine fluorestsentsmikroskoopidele Zeiss Axio Observer
38632000,Nightglasses,Öövaatlusseadmete ost koos elutsükli tagamisega,,Öövaatlusseadmete ost koos elutsükli tagamisega || Estonia – Nightglasses – Öövaatlusseadmed
39100000,Furniture,"Tallinna Linnateatri (Lai tn 25 // Laboratooriumi tn 12, Lai tn 23) sisustamine köögitehnikaga",,"Tallinna Linnateatri (Lai tn 25 // Laboratooriumi tn 12, Lai tn 23) sisustamine köögitehnikaga || Tallinna Linnavaraamet (edaspidi hankija) kutsub Teid (edaspidi pakkuja) esitama pakkumust avatud hankemenetlusena läbiviidavale riigihankele, mille eesmärk on hankelepingu (edaspidi leping) sõlmimine sisustuse ostmiseks (edaspidi lepingu ese) ehk Tallinna Linnateatri (Lai tn 25 // Laboratooriumi tn 12, Lai tn 23) köögitehnika hankimine koos selle transpordiga objektile ja paigaldusega (montaažiga, sh vajadusel tehnosüsteemidega ühendamine). Tallinna Linnateatri hoonekompleksi on kavandatud kaks toitlustusasutust koos köökidega. || Estonia – Furniture – Tallinna Linnateatri (Lai tn 25 // Laboratooriumi tn 12, Lai tn 23) sisustamine köögitehnikaga"
39130000,Office furniture,"Mööbli ostmine koos transportiga hankija asukohta, mööbli kokkupanekuga ja pakendite utiliseerimisega.",,"Mööbli ostmine koos transportiga hankija asukohta, mööbli kokkupanekuga ja pakendite utiliseerimisega. || Estonia – Office furniture – Mööbli ostmine"
39160000,School furniture,Kohtla-Järve Kesklinna Põhikooli sisustus,,"Kohtla-Järve Kesklinna Põhikooli sisustus || Kohtla-Järve Kesklinna põhikooli (Pärna tn 20) sisustuse ostmine, tarnimine ja paigaldamine vastavalt tehnilisele kirjeldusele. || Estonia – School furniture – Kohtla-Järve Kesklinna Põhikooli sisustus || Kohtla-Järve Kesklinna põhikooli (Pärna tn 20) sisustuse ostmine, tarnimine ja paigaldamine vastavalt tehnilisele kirjeldusele. Projekt asub aadressil: https://zc.ee/ghVf3FZm || Kärdla Põhikooli sisustuse ostmine || Müüja kohustuseks on ka asjade tootmine, tarne, paigaldus ja seadistamine aadressil Uus tn 4, Kärdla asuvasse uude Kärdla Põhikooli. || Estonia – School furniture – Kärdla Põhikooli sisustuse ostmine"
39161000,Kindergarten furniture,Kiili alevi Kurna tee lasteaia sisustuse ostmine,,Kiili alevi Kurna tee lasteaia sisustuse ostmine || Estonia – Kindergarten furniture – Kiili alevi Kurna tee lasteaia sisustuse ostmine
39162110,Teaching supplies,Õppevahendid Pelgulinna riigigümnaasium,,"Õppevahendid Pelgulinna riigigümnaasium || • Osa I, Füüsika õppevahendid tarnimine ja paigaldus • Osa II, Keemia õppevahendid tarnimine ja paigaldus • Osa III, Bioloogia õppevahendid tarnimine ja paigaldus • Osa IV Geograafia õppevahendid tarnimine ja paigaldus • Osa V Matemaatika õppevahendid tarnimine ja paigaldus || Füüsika õppevahendid tarnimine ja paigaldus || Estonia – Teaching supplies – Õppevahendid Pelgulinna riigigümnaasium || Narva Eesti Gümnaasiumi laborite inventar || Füüsika, keemia ja bioloogia laborite inventari hankimine Narva Eesti Gümnaasiumile. || Füüsika laborite inventari hankimine Narva Eesti Gümnaasiumile. || Estonia – Teaching supplies – Narva Eesti Gümnaasiumi laborite inventar"
